bold,group,html-class,eng,ita,de
,1,tc2,Get the,Misura il,Holen Sie sich das
1,1,tc3,True Impact,Vero impatto,Wahre Wirkung
,1,tc4,of your Marketing.,del tuo Marketing.,Ihres Marketings.
,2,tc5,Explore our Solutions,I Nostri Servizi,Entdecken Sie unsere Lösungen
,3,tc6,Book a free consultation,Consultazione Gratuita,Buchen Sie eine kostenlose Beratung
,4,tc7,Solving your business questions,Rispondi alle necessita' del tuo business,Lösung Ihrer geschäftlichen Fragen
,5,tc8,Unbiased true uplift of your marketing,Vero e proprio miglioramento imparziale del tuo marketing,"Unvoreingenommene, echte Steigerung Ihres Marketings"
,6,tc9,In a world with a wealth of data and multiple reporting methodologies.,In un mondo ricco di dati e con molteplici metodologie di reporting.,In einer Welt mit einer Fülle von Daten und vielfältigen Berichtsmethoden.
,6,tc10,We,Noi,Wir
1,6,tc11,partner with all teams,collaboriamo con tutti i tuoi team,Partner aller Teams
,6,tc12,to ensure we use the right measurement approaches that are clear & can be implemented by the business,per garantire la misurazione in modo che sia chiaria e possa essere implementata dall'azienda,"um sicherzustellen, dass wir die richtigen Messansätze verwenden, die klar sind und vom Unternehmen umgesetzt werden können"
,7,tc13,Get started,Inizia,Fangen Sie an
,8,tc14,Measure the true impact of performance campaigns,Misura il vero impatto delle campagne a performance,Messen Sie die tatsächliche Wirkung von Performance-Kampagnen
,9,tc15,Traditional marketing performance reporting methods don't show the incremental impact of my marketing,I metodi tradizionali di reporting delle prestazioni marketing non mostrano l'impatto incrementale del mio marketing,Herkömmliche Methoden zur Berichterstattung über die Marketingleistung zeigen nicht die inkrementellen Auswirkungen meines Marketings
,10,tc16,We measure,Misuriamo,Wir messen
1,10,tc17,True Uplift,il Vero impatto,Wahrer Aufschwung
,10,tc18,on a fair like-for-like comparison of media channels.,"dei canali media, su un piano comparabile ed imparziale.",auf einem fairen Like-for-Like-Vergleich der Medienkanäle.
,11,tc19,Allocate & optimise your media budgets,Assegna e ottimizza i tuoi budget di marketing,Weisen Sie Ihre Mediabudgets zu und optimieren Sie sie
,12,tc20,Measure all marketing channels on a like for like basis & drive growth by:,Misura tutti i canali di marketing su base comparabile e genera un valore concreto:,Messen Sie alle Marketingkanäle auf einer Like-for-Like-Basis und fördern Sie das Wachstum durch:
,13,tc21,Optimise the same marketing budget level to drive uplift,"Ottimizza lo stesso livello di budget di marketing, aumentando l'impatto","Optimieren Sie das gleiche Marketingbudget, um die Steigerung zu steigern"
,14,tc22,Set marketing budget that maximises your profit,Imposta un budget di marketing che massimizzi il tuo profitto,"Legen Sie ein Marketingbudget fest, das Ihren Gewinn maximiert"
,15,tc23,Input pre-set budget level & understand what revenue/profit it will drive,Inserisci il livello di budget desiderato e scopri quali entrate/profitti genererà,"Geben Sie das voreingestellte Budgetniveau ein und verstehen Sie, welchen Umsatz/Gewinn es erzielen wird"
,16,tc24,Ensure measurement leads to action,Assicurarsi che la misurazione porti all’azione,"Stellen Sie sicher, dass die Messung zu Maßnahmen führt"
,17,tc25,We work with all areas of your team to ensure the measurement is understood and that teams can take action from the results.,Lavoriamo con tutte le aree del tuo team per garantire che la misurazione venga compresa e che i team possano agire in base ai risultati.,"Wir arbeiten mit allen Bereichen Ihres Teams zusammen, um sicherzustellen, dass die Messung verstanden wird und die Teams aus den Ergebnissen Maßnahmen ergreifen können."
,18,tc26,Driving growth for your business,Promuovere la crescita del tuo business,Fördern Sie das Wachstum Ihres Unternehmens
,19,tc27,Take control of your data,Prendi il controllo dei tuoi dati,Übernehmen Sie die Kontrolle über Ihre Daten
,20,tc28,Contact us,Contattaci,Kontaktieren Sie uns
,21,tc29,Have any project on mind?,Hai qualche progetto in mente?,Haben Sie ein Projekt im Kopf?
,21,tc30,For immediate support:,Per supporto immediato:,Für sofortige Unterstützung:
,22,tc31,Schedule a Call,Prenota una call,Vereinbaren Sie einen Anruf
,23,tc32,Why wait,Perché aspettare,Warum warten?
,24,tc33,Measurement Platform,Piattaforma di misurazione,Messplattform
,25,tc34,Full Service Measurement,Servizio Completo,Full-Service-Messung
,26,tc35,Why measure with Linea?,Perché misurare con Linea?,Warum mit Linea messen?
,27,tc36,What service is right for me?,Qual è il servizio adatto a me?,Welcher Service passt zu mir?
,28,tc37,End to end delivery,Consegna dall'inizio alla fine,End-to-End-Lieferung
,28,tc38,or,oppure,oder
,28,tc39,Need support to implement,Hai bisogno di supporto per l'implementazione,Brauche Unterstützung bei der Umsetzung
,29,tc40,How we do it,Il nostro metodo,Wie wir es machen
,30,tc41,1. Upload your data,1. Carica i tuoi dati,1. Laden Sie Ihre Daten hoch
,31,tc42,Our models use privacy safe weekly data across all key drivers of business.,I nostri modelli utilizzano dati settimanali sicuri per la privacy su tutti i principali fattori di business.,Unsere Modelle nutzen datenschutzsichere wöchentliche Daten zu allen wichtigen Geschäftsfaktoren.
,32,tc43,All data used is GDPR compliant.,Tutti i dati utilizzati sono conformi al GDPR.,Alle verwendeten Daten sind DSGVO-konform.
,33,tc44,"Data can be supplied as a CSV, uploaded to the platform or connect to your data sources.","I dati possono essere forniti come CSV, caricati sulla piattaforma o collegati alle origini dati.","Daten können als CSV bereitgestellt, auf die Plattform hochgeladen oder mit Ihren Datenquellen verbunden werden."
